"DateTime";"AC Wirkleistung [kW]";"AC Energie (Eout) [kWh]"
"2023-07-10 16:30:00";44,78;608,49
"2023-07-10 16:35:00";44,55;612,2
"2023-07-10 16:40:00";36,34;615,24
"2023-07-10 16:45:00";45,39;619,02
"2023-07-10 16:50:00";65,51;624,51
"2023-07-10 16:55:00";53,3;628,95
"2023-07-10 17:00:00";43,6;632,58
"2023-07-10 17:05:00";25,3;634,68
"2023-07-10 17:10:00";24,31;636,7
"2023-07-10 17:15:00";45,77;640,51
"2023-07-10 17:20:00";66,03;646,03
"2023-07-10 17:25:00";66,29;651,56
"2023-07-10 17:30:00";53,54;656,01
"2023-07-10 17:35:00";57,74;660,82
"2023-07-10 17:40:00";48,63;664,87
"2023-07-10 17:45:00";21,86;666,68
"2023-07-10 17:50:00";47,24;670,64
"2023-07-10 17:55:00";59,99;675,62
"2023-07-10 18:00:00";48,1;679,63
"2023-07-10 18:05:00";42,42;683,17
"2023-07-10 18:10:00";40,83;686,58
"2023-07-10 18:15:00";34,15;689,43
"2023-07-10 18:20:00";32,39;692,11
"2023-07-10 18:25:00";37,97;695,28
"2023-07-10 18:30:00";22,67;697,18
"2023-07-10 18:35:00";13,5;698,31
"2023-07-10 18:40:00";18,54;699,84
"2023-07-10 18:45:00";14,81;701,08
"2023-07-10 18:50:00";12,56;702,13
"2023-07-10 18:55:00";11,74;702,32
"2023-07-10 21:56:00";;
